Year,Cycle,Dormancy,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence
2001, Cycle 1,263,154,193,244,175,207,223
2002, Cycle 1,260,141,185,236,164,198,214
2003, Cycle 1,275,116,181,243,157,197,214
2004, Cycle 1,265,117,180,241,157,195,213
2005, Cycle 1,257,112,170,237,146,186,208
2006, Cycle 1,273,137,185,244,164,201,220
2007, Cycle 1,271,127,180,247,155,197,218
2008, Cycle 1,267,125,177,241,152,196,215
2009, Cycle 1,270,123,177,243,152,194,214
2010, Cycle 1,266,107,176,242,146,195,214
2011, Cycle 1,270,128,178,245,154,195,216
2012, Cycle 1,275,130,178,245,155,197,218
2013, Cycle 1,293,136,183,254,160,201,226
2014, Cycle 1,272,090,172,247,142,193,216
2015, Cycle 1,270,116,174,242,145,195,215
2016, Cycle 1,276,105,178,243,148,197,214
2017, Cycle 1,274,117,174,248,146,197,219
2018, Cycle 1,272,119,179,238,154,195,212
2019, Cycle 1,267,120,177,240,148,196,215
2008, Cycle 2,270,078,174,241,143,194,214
2018, Cycle 2,258,074,191,239,155,206,220
